종목명,업종
,
APS,16
AP시스템,16
CJ ENM,7
CJ프레시웨이,100
CMG제약,16
CNH,16
DH오토웨어,7
DMS,7
EDGC,7
HK이노엔,100
HLB,7
HLB생명과학,7
JW신약,16
JYP Ent.,7
KCC건설,100
KD,16
KNN,16
KX,16
SBI인베스트먼트,16
SDN,7
SFA반도체,16
SG,7
SGA,100
SGC이테크건설,100
SGC이테크건설,16
TS트릴리온,7
YTN,100
가온그룹,16
감성코퍼레이션,7
갤럭시아머니트리,100
경창산업,7
골드앤에스,7
광무,16
국일제지,100
글로본,7
금화피에스시,100
까스텔바작,7
네오리진,7
네패스,16
녹원씨엔아이,7
다우데이타,100
다원시스,100
대동금속,100
대동기어,7
대림제지,100
대명소노시즌,22
대봉엘에스,7
대신정보통신,7
대양제지,100
대원,7
대원산업,100
대유에이피,7
대주산업,100
대주전자재료,7
대한과학,11
대한광통신,11
대호특수강,7
도이치모터스,100
동국S&C,16
동국산업,100
동성화인텍,100
동일철강,100
동화기업,100
듀오백,16
드래곤플라이,7
디와이디,7
디지틀조선,7
라온시큐어,7
레드캡투어,100
리더스 기술투자,7
리드코프,100
리튬포어스,7
링크제니시스,100
마니커에프앤지,11
매일유업,7
매일홀딩스,5
매커스,7
머큐리,17
메디앙스,100
메이슨캐피탈,100
멜파스,7
모베이스전자,7
모트렉스,7
모헨즈,7
무림SP,100
미코,7
바른손,7
바이넥스,7
바이온,7
베뉴지,7
부방,100
브이티지엠피,7
비보존 제약,7
비에이치아이,7
삼보모터스,7
삼일,7
삼진엘앤디,7
삼천리자전거,7
삼표시멘트,11
삼화네트웍스,16
상보,7
상상인,7
상지카일룸,7
서연탑메탈,100
서울리거,7
서울제약,7
서진시스템,11
서진오토모티브,7
서진오토모티브,7
서한,16
서희건설,16
성도이엔지,7
성우하이텍,100
세명전기,100
세종텔레콤,11
세코닉스,7
셀루메드,7
셀트리온헬스케어,5
손오공,7
솔고바이오,7
스튜디오드래곤,100
승일,100
시그네틱스,16
시너지이노베이션,22
시스웍,16
신원종합개발,11
신화인터텍,11
심텍홀딩스,16
쌍용정보통신,100
씨씨에스,16
아가방컴퍼니,100
아세아텍,100
아스트,7
아시아경제,100
아이에이,7
아이엠,7
아이오케이,7
아이윈,7
아이즈비전,7
아주IB투자,16
아즈텍WB,7
아진산업,7
에스에너지,16
에스와이,7
에스코넥,7
에스텍파마,7
에스트래픽,7
에스티오,7
에스폴리텍,7
에이비온,7
에이스테크,7
에이치케이,7
에이티넘인베스트,7
에이프로젠 H&G,7
에코바이오,7
에코프로,16
에코프로비엠,100
엑사이엔씨,7
엔브이에이치코리아,11
엘아이에스,7
엘컴텍,22
엠벤처투자,16
엠에스씨,100
엠에스오토텍,7
엠에프엠코리아,7
엠젠솔루션,7
엠케이전자,7
엠투엔,22
오리엔탈정공,16
오리엔트정공,22
오리콤,100
오성첨단소재,7
오스템,7
오텍,7
오픈베이스,100
옵트론텍,7
와이어블,100
와이엠,7
와이지-원,16
우리기술,7
우리벤처파트너스,16
우리손에프앤지,16
원익QnC,16
원익홀딩스,100
원익홀딩스,100
원풍물산,7
웰크론,7
위니아,7
위메이드맥스,7
유니셈,11
유니슨,7
유니크,22
유니트론텍,7
유비케어,7
유성티엔에스,11
유진기업,16
유진로봇,7
이루온,7
이베스트투자증권,100
이엔코퍼레이션,7
이즈미디어,7
이지홀딩스,16
인콘,7
인터엠,100
인터플렉스,16
자연과환경,7
재영솔루텍,7
정다운,7
제이스코홀딩스,7
제이티,100
조아제약,7
좋은사람들,16
지더블유바이텍,7
지엔코,7
창해에탄올,100
체리부로,7
초록뱀미디어,7
초록뱀컴퍼니,7
카스,7
카페24,7
캠시스,7
컴투스,100
케스피온,7
케이바이오,7
케이티알파,100
케이피에프,100
케이피엠테크,7
코다코,11
코데즈컴바인,7
코드네이처,7
코리아나,100
코리아에프티,7
코센,100
코아시아,7
코아시아씨엠,7
코오롱생명과학,16
태양,100
태웅로직스,7
테라젠이텍스,7
트루윈,7
특수건설,11
파라다이스,100
파루,7
파워넷,7
파인텍,7
팜스토리,16
팬스타엔터프라이즈,7
펄어비스,100
포스코DX,100
포스코엠텍,7
푸드웰,100
푸른저축은행,16
플래스크,7
피에스텍,100
하나마이크론,16
하림,100
하림지주,100
하이소닉,22
한국선재,7
한국유니온제약,7
한국전자금융,100
한국정보통신,7
한국캐피탈,100
한글과컴퓨터,100
한네트,100
한솔아이원스,7
한솔인티큐브,100
한주라이트메탈,7
한탑,100
해성옵틱스,7
현대공업,100
현대바이오,100
형지I&C,7
휴맥스,11
