주식지표별(1),회사수 (개),종목수 (개)
주식지표별(2),소계,소계
2019.01,788,901
2019.02,788,901
2019.03,791,904
2019.04,791,904
2019.05,790,901
2019.06,789,900
2019.07,789,900
2019.08,789,901
2019.09,789,901
2019.1,794,910
2019.11,798,914
2019.12,799,916
2020.01,800,917
2020.02,799,916
2020.03,798,915
2020.04,796,912
2020.05,796,913
2020.06,793,910
2020.07,791,908
2020.08,795,912
2020.09,796,914
2020.1,797,915
2020.11,799,917
2020.12,800,917
2021.01,801,919
2021.02,803,921
2021.03,805,923
2021.04,804,922
2021.05,808,927
2021.06,808,927
2021.07,810,929
2021.08,816,935
2021.09,819,938
2021.1,820,939
2021.11,822,941
2021.12,824,943
2022.01,822,941
2022.02,821,940
2022.03,821,940
2022.04,820,940
2022.05,821,941
2022.06,821,941
2022.07,820,937
2022.08,822,939
2022.09,822,939
2022.1,823,940
2022.11,825,942
2022.12,826,943
2023.01,827,945
2023.02,825,943
2023.03,827,946
2023.04,829,948
2023.05,831,950
2023.06,834,953
